─ Session info ───────────────────────────────────────────────────────────────
 setting  value
 version  R version 4.3.3 (2024-02-29)
 os       macOS 15.3.2
 system   x86_64, darwin13.4.0
 ui       unknown
 language (EN)
 collate  C
 ctype    UTF-8
 tz       Europe/Berlin
 date     2025-03-26
 pandoc   3.6.3 @ /Users/seohyon/miniconda3/envs/interoperability/bin/pandoc
 quarto   NA

─ Packages ───────────────────────────────────────────────────────────────────
 package              * version    date (UTC) lib source
 promises               1.3.2      2024-11-28 [1] CRAN (R 4.3.3)
 purrr                  1.0.4      2025-02-05 [1] CRAN (R 4.3.3)
 R6                     2.6.1      2025-02-15 [1] CRAN (R 4.3.3)
 RANN                   2.6.2      2024-08-25 [1] CRAN (R 4.3.3)
 RColorBrewer           1.1-3      2022-04-03 [1] CRAN (R 4.3.3)
 Rcpp                   1.0.14     2025-01-12 [1] CRAN (R 4.3.3)
 RcppAnnoy              0.0.22     2024-01-23 [1] CRAN (R 4.3.3)
 RcppHNSW               0.6.0      2024-02-04 [1] CRAN (R 4.3.3)
 RCurl                  1.98-1.16  2024-07-11 [1] CRAN (R 4.3.3)
 reshape2               1.4.4      2020-04-09 [1] CRAN (R 4.3.3)
 reticulate             1.41.0.1   2025-03-09 [1] CRAN (R 4.3.3)
 rhdf5                  2.46.1     2023-11-29 [1] Bioconductor 3.18 (R 4.3.3)
 rhdf5filters           1.14.1     2023-11-06 [1] Bioconductor
 Rhdf5lib               1.24.0     2023-10-24 [1] Bioconductor
 rlang                  1.1.5      2025-01-17 [1] CRAN (R 4.3.3)
 ROCR                   1.0-11     2020-05-02 [1] CRAN (R 4.3.3)
 RSpectra               0.16-2     2024-07-18 [1] CRAN (R 4.3.3)
 Rtsne                  0.17       2023-12-07 [1] CRAN (R 4.3.3)
 S4Arrays               1.2.0      2023-10-24 [1] Bioconductor
 S4Vectors            * 0.40.2     2023-11-23 [1] Bioconductor 3.18 (R 4.3.3)
 scales                 1.3.0      2023-11-28 [1] CRAN (R 4.3.3)
 scattermore            1.2        2023-06-12 [1] CRAN (R 4.3.3)
 sctransform            0.4.1      2023-10-19 [1] CRAN (R 4.3.3)
 scuttle                1.12.0     2023-10-24 [1] Bioconductor
 sessioninfo            1.2.3      2025-02-05 [1] CRAN (R 4.3.3)
 Seurat                 5.2.1      2025-01-24 [1] CRAN (R 4.3.3)
 SeuratDisk             0.0.0.9021 2025-03-13 [1] Github (mojaveazure/seurat-disk@877d4e1)
 SeuratObject           5.0.2      2024-05-08 [1] CRAN (R 4.3.3)
 shiny                  1.10.0     2024-12-14 [1] CRAN (R 4.3.3)
 SingleCellExperiment * 1.24.0     2023-10-24 [1] Bioconductor
 sp                     2.2-0      2025-02-01 [1] CRAN (R 4.3.3)
 spam                   2.11-1     2025-01-20 [1] CRAN (R 4.3.3)
 SparseArray            1.2.2      2023-11-07 [1] Bioconductor
 sparseMatrixStats      1.14.0     2023-10-24 [1] Bioconductor
 spatstat.data          3.1-4      2024-11-15 [1] CRAN (R 4.3.3)
 spatstat.explore       3.3-4      2025-01-08 [1] CRAN (R 4.3.3)
 spatstat.geom          3.3-5      2025-01-18 [1] CRAN (R 4.3.3)
 spatstat.random        3.3-2      2024-09-18 [1] CRAN (R 4.3.3)
 spatstat.sparse        3.1-0      2024-06-21 [1] CRAN (R 4.3.3)
 spatstat.univar        3.1-2      2025-03-05 [1] CRAN (R 4.3.3)
 spatstat.utils         3.1-2      2025-01-08 [1] CRAN (R 4.3.3)
 stringi                1.8.4      2024-05-06 [1] CRAN (R 4.3.3)
 stringr                1.5.1      2023-11-14 [1] CRAN (R 4.3.3)
 SummarizedExperiment * 1.32.0     2023-10-24 [1] Bioconductor
 survival               3.8-3      2024-12-17 [1] CRAN (R 4.3.3)
 tensor                 1.5        2012-05-05 [1] CRAN (R 4.3.3)
 tibble                 3.2.1      2023-03-20 [1] CRAN (R 4.3.3)
 tidyr                  1.3.1      2024-01-24 [1] CRAN (R 4.3.3)
 tidyselect             1.2.1      2024-03-11 [1] CRAN (R 4.3.3)
 uwot                   0.2.3      2025-02-24 [1] CRAN (R 4.3.3)
 vctrs                  0.6.5      2023-12-01 [1] CRAN (R 4.3.3)
 viridisLite            0.4.2      2023-05-02 [1] CRAN (R 4.3.3)
 withr                  3.0.2      2024-10-28 [1] CRAN (R 4.3.3)
 xtable                 1.8-4      2019-04-21 [1] CRAN (R 4.3.3)
 XVector                0.42.0     2023-10-24 [1] Bioconductor
 zlibbioc               1.48.0     2023-10-24 [1] Bioconductor
 zoo                    1.8-13     2025-02-22 [1] CRAN (R 4.3.3)

 [1] /Users/seohyon/miniconda3/envs/interoperability/lib/R/library
 * ── Packages attached to the search path.

─ Python configuration ───────────────────────────────────────────────────────
 python:         /Users/seohyon/miniconda3/envs/interoperability/bin/python
 libpython:      /Users/seohyon/miniconda3/envs/interoperability/bin/python3.12
 pythonhome:     /Users/seohyon/miniconda3/envs/interoperability:/Users/seohyon/miniconda3/envs/interoperability
 version:        3.12.9 | packaged by conda-forge | (main, Mar  4 2025, 22:45:25) [Clang 18.1.8 ]
 numpy:          /Users/seohyon/miniconda3/envs/interoperability/lib/python3.12/site-packages/numpy
 numpy_version:  2.1.3
 
 NOTE: Python version was forced by the current process

──────────────────────────────────────────────────────────────────────────────
